yourlist:M201705058A530B6CA0138AFAA6D2B97CE8C2A924D0C2A2K	Entry	Entry name	Protein names	Gene names	Gene names  (primary )	Gene names  (synonym )	Gene names  (ordered locus )	Gene names  (ORF )	Organism
Q02078	Q02078	MEF2A_HUMAN	Myocyte-specific enhancer factor 2A (Serum response factor-like protein 1)	MEF2A MEF2	MEF2A	MEF2			Homo sapiens (Human)
Q02086	Q02086	SP2_HUMAN	Transcription factor Sp2	SP2 KIAA0048	SP2	KIAA0048			Homo sapiens (Human)
Q02156	Q02156	KPCE_HUMAN	Protein kinase C epsilon type (EC 2.7.11.13) (nPKC-epsilon)	PRKCE PKCE	PRKCE	PKCE			Homo sapiens (Human)
Q02223	Q02223	TNR17_HUMAN	Tumor necrosis factor receptor superfamily member 17 (B-cell maturation protein) (CD antigen CD269)	TNFRSF17 BCM BCMA	TNFRSF17	BCM BCMA			Homo sapiens (Human)
Q02224	Q02224	CENPE_HUMAN	Centromere-associated protein E (Centromere protein E) (CENP-E) (Kinesin-7) (Kinesin-related protein CENPE)	CENPE	CENPE				Homo sapiens (Human)
Q02297	Q02297	NRG1_HUMAN	Pro-neuregulin-1, membrane-bound isoform (Pro-NRG1) [Cleaved into: Neuregulin-1 (Acetylcholine receptor-inducing activity) (ARIA) (Breast cancer cell differentiation factor p45) (Glial growth factor) (Heregulin) (HRG) (Neu differentiation factor) (Sensory and motor neuron-derived factor)]	NRG1 GGF HGL HRGA NDF SMDF	NRG1	GGF HGL HRGA NDF SMDF			Homo sapiens (Human)
Q02413	Q02413	DSG1_HUMAN	Desmoglein-1 (Cadherin family member 4) (Desmosomal glycoprotein 1) (DG1) (DGI) (Pemphigus foliaceus antigen)	DSG1 CDHF4	DSG1	CDHF4			Homo sapiens (Human)
Q02415	Q02415	KRUP_CUPSA	Protein krueppel (Fragment)	Kr	Kr				Cupiennius salei (American wandering spider)
Q02465	Q02465	DD31_DICDI	Prespore protein Dd31	spiA DDB_G0289075	spiA			DDB_G0289075	Dictyostelium discoideum (Slime mold)
Q02548	Q02548	PAX5_HUMAN	Paired box protein Pax-5 (B-cell-specific transcription factor) (BSAP)	PAX5	PAX5				Homo sapiens (Human)
Q02637	Q02637	CEBP_DROME	CCAAT/enhancer-binding protein (C/EBP) (Slow border cell protein)	slbo CG4354	slbo			CG4354	Drosophila melanogaster (Fruit fly)
Q02651	Q02651	SMA1_YEAST	Spore membrane assembly protein 1	SMA1 YPL027W	SMA1		YPL027W		Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
Q02750	Q02750	MP2K1_HUMAN	Dual specificity mitogen-activated protein kinase kinase 1 (MAP kinase kinase 1) (MAPKK 1) (MKK1) (EC 2.7.12.2) (ERK activator kinase 1) (MAPK/ERK kinase 1) (MEK 1)	MAP2K1 MEK1 PRKMK1	MAP2K1	MEK1 PRKMK1			Homo sapiens (Human)
Q02784	Q02784	GLRX5_YEAST	Monothiol glutaredoxin-5, mitochondrial	GRX5 YPL059W LPE13W	GRX5		YPL059W	LPE13W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
Q02799	Q02799	LEE1_YEAST	Zinc finger protein LEE1	LEE1 YPL054W	LEE1		YPL054W		Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
Q02817	Q02817	MUC2_HUMAN	Mucin-2 (MUC-2) (Intestinal mucin-2)	MUC2 SMUC	MUC2	SMUC			Homo sapiens (Human)
Q02962	Q02962	PAX2_HUMAN	Paired box protein Pax-2	PAX2	PAX2				Homo sapiens (Human)
Q03014	Q03014	HHEX_HUMAN	Hematopoietically-expressed homeobox protein HHEX (Homeobox protein HEX) (Homeobox protein PRH)	HHEX HEX PRH PRHX	HHEX	HEX PRH PRHX			Homo sapiens (Human)
Q03063	Q03063	DIG1_YEAST	Down-regulator of invasive growth 1 (Regulator of STE12 protein 1) (Regulator of sterile twelve 1)	DIG1 RST1 YPL049C P7102.02	DIG1	RST1	YPL049C	P7102.02	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
Q03104	Q03104	MSC1_YEAST	Meiotic sister chromatid recombination protein 1	MSC1 YML128C YM4987.07C	MSC1		YML128C	YM4987.07C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
Q03135	Q03135	CAV1_HUMAN	Caveolin-1	CAV1 CAV	CAV1	CAV			Homo sapiens (Human)
Q03149	Q03149	WA_EMENI	Conidial yellow pigment biosynthesis polyketide synthase (PKS) (EC 2.3.1.-)	wA AN8209	wA			AN8209	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)
Q03164	Q03164	KMT2A_HUMAN	Histone-lysine N-methyltransferase 2A (Lysine N-methyltransferase 2A) (EC 2.1.1.43) (ALL-1) (CXXC-type zinc finger protein 7) (Myeloid/lymphoid or mixed-lineage leukemia) (Myeloid/lymphoid or mixed-lineage leukemia protein 1) (Trithorax-like protein) (Zinc finger protein HRX) [Cleaved into: MLL cleavage product N320 (N-terminal cleavage product of 320 kDa) (p320); MLL cleavage product C180 (C-terminal cleavage product of 180 kDa) (p180)]	KMT2A ALL1 CXXC7 HRX HTRX MLL MLL1 TRX1	KMT2A	ALL1 CXXC7 HRX HTRX MLL MLL1 TRX1			Homo sapiens (Human)
Q03167	Q03167	TGBR3_HUMAN	Transforming growth factor beta receptor type 3 (TGF-beta receptor type 3) (TGFR-3) (Betaglycan) (Transforming growth factor beta receptor III) (TGF-beta receptor type III)	TGFBR3	TGFBR3				Homo sapiens (Human)
Q03181	Q03181	PPARD_HUMAN	Peroxisome proliferator-activated receptor delta (PPAR-delta) (NUCI) (Nuclear hormone receptor 1) (NUC1) (Nuclear receptor subfamily 1 group C member 2) (Peroxisome proliferator-activated receptor beta) (PPAR-beta)	PPARD NR1C2 PPARB	PPARD	NR1C2 PPARB			Homo sapiens (Human)
Q03209	Q03209	P78_NPVAC	Protein P78/83	P61 ORF9	P61			ORF9	Autographa californica nuclear polyhedrosis virus (AcMNPV)
Q03347	Q03347	RUNX1_MOUSE	Runt-related transcription factor 1 (Acute myeloid leukemia 1 protein) (Core-binding factor subunit alpha-2) (CBF-alpha-2) (Oncogene AML-1) (Polyomavirus enhancer-binding protein 2 alpha B subunit) (PEA2-alpha B) (PEBP2-alpha B) (SL3-3 enhancer factor 1 alpha B subunit) (SL3/AKV core-binding factor alpha B subunit)	Runx1 Aml1 Cbfa2 Pebp2ab	Runx1	Aml1 Cbfa2 Pebp2ab			Mus musculus (Mouse)
Q03372	Q03372	HMSH_DROME	Muscle segmentation homeobox (Protein drop) (Protein msh)	Dr msh CG1897	Dr	msh		CG1897	Drosophila melanogaster (Fruit fly)
Q03373	Q03373	DIG2_YEAST	Down-regulator of invasive growth 2 (Regulator of STE12 protein 2) (Regulator of sterile twelve 2)	DIG2 RST2 YDR480W D8035.23	DIG2	RST2	YDR480W	D8035.23	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
Q03393	Q03393	PTPS_HUMAN	6-pyruvoyl tetrahydrobiopterin synthase (PTP synthase) (PTPS) (EC 4.2.3.12)	PTS	PTS				Homo sapiens (Human)
Q03395	Q03395	ROM1_HUMAN	Rod outer segment membrane protein 1 (ROSP1) (Tetraspanin-23) (Tspan-23)	ROM1 TSPAN23	ROM1	TSPAN23			Homo sapiens (Human)
Q03403	Q03403	TFF2_HUMAN	Trefoil factor 2 (Spasmolysin) (Spasmolytic polypeptide) (SP)	TFF2 SML1	TFF2	SML1			Homo sapiens (Human)
Q03405	Q03405	UPAR_HUMAN	Urokinase plasminogen activator surface receptor (U-PAR) (uPAR) (Monocyte activation antigen Mo3) (CD antigen CD87)	PLAUR MO3 UPAR	PLAUR	MO3 UPAR			Homo sapiens (Human)
Q03468	Q03468	ERCC6_HUMAN	DNA excision repair protein ERCC-6 (EC 3.6.4.-) (ATP-dependent helicase ERCC6) (Cockayne syndrome protein CSB)	ERCC6 CSB	ERCC6	CSB			Homo sapiens (Human)
Q03519	Q03519	TAP2_HUMAN	Antigen peptide transporter 2 (APT2) (ATP-binding cassette sub-family B member 3) (Peptide supply factor 2) (Peptide transporter PSF2) (PSF-2) (Peptide transporter TAP2) (Peptide transporter involved in antigen processing 2) (Really interesting new gene 11 protein)	TAP2 ABCB3 PSF2 RING11 Y1	TAP2	ABCB3 PSF2 RING11 Y1			Homo sapiens (Human)
Q03529	Q03529	SCS7_YEAST	Ceramide very long chain fatty acid hydroxylase SCS7 (Ceramide VLCFA hydroxylase SCS7) (EC 1.-.-.-) (Suppressor of calcium sensitivity 7)	SCS7 FAH1 YMR272C YM8156.14C	SCS7	FAH1	YMR272C	YM8156.14C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
Q03546	Q03546	VEAD_BPP22	Ead protein	ead	ead				Salmonella phage P22 (Bacteriophage P22)
Q03547	Q03547	VEAE_BPP22	Eae protein	eae	eae				Salmonella phage P22 (Bacteriophage P22)
Q03553	Q03553	SPIKE_ADEB3	Fiber protein (SPIKE) (Protein IV)	L5				L5	Bovine adenovirus B serotype 3 (BAdV-3) (Mastadenovirus bos3)
Q03591	Q03591	FHR1_HUMAN	Complement factor H-related protein 1 (FHR-1) (H factor-like protein 1) (H-factor-like 1) (H36)	CFHR1 CFHL CFHL1 CFHL1P CFHR1P FHR1 HFL1 HFL2	CFHR1	CFHL CFHL1 CFHL1P CFHR1P FHR1 HFL1 HFL2			Homo sapiens (Human)
Q03702	Q03702	CCE1_YEAST	Cruciform cutting endonuclease 1, mitochondrial (EC 3.1.-.-)	CCE1 YKL011C YKL164	CCE1		YKL011C	YKL164	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
Q03835	Q03835	GLRX3_YEAST	Monothiol glutaredoxin-3	GRX3 YDR098C YD8557.05C	GRX3		YDR098C	YD8557.05C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
Q03947	Q03947	IPAD_SHIDY	Invasin IpaD (37 kDa membrane antigen)	ipaD	ipaD				Shigella dysenteriae
Q03963	Q03963	E2AK2_MOUSE	Interferon-induced, double-stranded RNA-activated protein kinase (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 2) (eIF-2A protein kinase 2) (Interferon-inducible RNA-dependent protein kinase) (P1/eIF-2A protein kinase) (Protein kinase RNA-activated) (PKR) (Protein kinase R) (Serine/threonine-protein kinase TIK) (Tyrosine-protein kinase EIF2AK2) (EC 2.7.10.2) (p68 kinase)	Eif2ak2 Pkr Prkr Tik	Eif2ak2	Pkr Prkr Tik			Mus musculus (Mouse)
Q04087	Q04087	LRS4_YEAST	Monopolin complex subunit LRS4 (Loss of rDNA silencing protein 4)	LRS4 YDR439W D9461.25	LRS4		YDR439W	D9461.25	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
Q04228	Q04228	UBX2_YEAST	UBX domain-containing protein 2 (Secretion lowering protein 1)	UBX2 SEL1 YML013W YM9571.05	UBX2	SEL1	YML013W	YM9571.05	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
Q04396	Q04396	LPP1_YEAST	Lipid phosphate phosphatase 1 (EC 3.1.3.-) (Phosphatidate phosphatase) (EC 3.1.3.4)	LPP1 YDR503C D9719.9	LPP1		YDR503C	D9719.9	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
Q04412	Q04412	AGE1_YEAST	ADP-ribosylation factor GTPase-activating protein effector protein 1 (ARF GAP effector protein 1) (Suppressor of ARF1 thermosensitive mutant protein 1)	AGE1 SAT1 YDR524C D9719.28	AGE1	SAT1	YDR524C	D9719.28	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
Q04432	Q04432	HSP31_YEAST	Glutathione-independent glyoxalase HSP31 (EC 4.2.1.130) (Glyoxalase 3 homolog 1) (Heat shock protein 31)	HSP31 YDR533C D9719.36	HSP31		YDR533C	D9719.36	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
Q04441	Q04441	COX2_BACPE	Cytochrome c oxidase subunit 2 (EC 1.9.3.1) (Cytochrome aa3 subunit 2) (Cytochrome c oxidase polypeptide II) (Oxidase aa(3) subunit 2)	ctaC BpOF4_00915	ctaC		BpOF4_00915		Bacillus pseudofirmus (strain OF4)
Q04543	Q04543	US03_CHV9D	Serine/threonine-protein kinase US3 homolog (EC 2.7.11.1)	US2	US2				Cercopithecine herpesvirus 9 (strain DHV) (CeHV-9) (Simian varicella virus)
Q04609	Q04609	FOLH1_HUMAN	Glutamate carboxypeptidase 2 (EC 3.4.17.21) (Cell growth-inhibiting gene 27 protein) (Folate hydrolase 1) (Folylpoly-gamma-glutamate carboxypeptidase) (FGCP) (Glutamate carboxypeptidase II) (GCPII) (Membrane glutamate carboxypeptidase) (mGCP) (N-acetylated-alpha-linked acidic dipeptidase I) (NAALADase I) (Prostate-specific membrane antigen) (PSM) (PSMA) (Pteroylpoly-gamma-glutamate carboxypeptidase)	FOLH1 FOLH NAALAD1 PSM PSMA GIG27	FOLH1	FOLH NAALAD1 PSM PSMA		GIG27	Homo sapiens (Human)
Q04613	Q04613	MI25_ARATH	ATP synthase protein MI25 (ORF25)	AtMg00640			AtMg00640		Arabidopsis thaliana (Mouse-ear cress)
Q04637	Q04637	IF4G1_HUMAN	Eukaryotic translation initiation factor 4 gamma 1 (eIF-4-gamma 1) (eIF-4G 1) (eIF-4G1) (p220)	EIF4G1 EIF4F EIF4G EIF4GI	EIF4G1	EIF4F EIF4G EIF4GI			Homo sapiens (Human)
Q04671	Q04671	P_HUMAN	P protein (Melanocyte-specific transporter protein) (Pink-eyed dilution protein homolog)	OCA2 D15S12 P	OCA2	D15S12 P			Homo sapiens (Human)
Q04733	Q04733	CMCT_AMYLA	Cephamycin export protein CmcT	cmcT	cmcT				Amycolatopsis lactamdurans (Nocardia lactamdurans)
Q04760	Q04760	LGUL_HUMAN	Lactoylglutathione lyase (EC 4.4.1.5) (Aldoketomutase) (Glyoxalase I) (Glx I) (Ketone-aldehyde mutase) (Methylglyoxalase) (S-D-lactoylglutathione methylglyoxal lyase)	GLO1	GLO1				Homo sapiens (Human)
Q04795	Q04795	AK1_BACSU	Aspartokinase 1 (EC 2.7.2.4) (Aspartate kinase 1) (Aspartokinase I)	dapG lssD BSU16760	dapG	lssD	BSU16760		Bacillus subtilis (strain 168)
Q04865	Q04865	TF65_XENLA	Putative transcription factor p65 homolog (XRel1)	rela rel1	rela	rel1			Xenopus laevis (African clawed frog)
Q04895	Q04895	DAL4_YEAST	Allantoin permease (Allantoin transport protein)	DAL4 YIR028W	DAL4		YIR028W		Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
Q04912	Q04912	RON_HUMAN	Macrophage-stimulating protein receptor (MSP receptor) (EC 2.7.10.1) (CDw136) (Protein-tyrosine kinase 8) (p185-Ron) (CD antigen CD136) [Cleaved into: Macrophage-stimulating protein receptor alpha chain; Macrophage-stimulating protein receptor beta chain]	MST1R PTK8 RON	MST1R	PTK8 RON			Homo sapiens (Human)
Q04972	Q04972	VIPA_SALTI	Vi polysaccharide biosynthesis protein VipA/TviB (EC 1.1.1.-)	vipA tviB STY4661 t4352	vipA	tviB	STY4661 t4352		Salmonella typhi
Q04973	Q04973	VIPB_SALTI	Vi polysaccharide biosynthesis protein VipB/TviC	vipB tviC STY4660 t4351	vipB	tviC	STY4660 t4351		Salmonella typhi
Q05123	Q05123	ARP9_YEAST	Actin-like protein ARP9 (Chromatin structure-remodeling complex protein ARP9) (SWI/SNF complex component ARP9)	ARP9 SWP59 YMR033W YM9973.07	ARP9	SWP59	YMR033W	YM9973.07	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
Q05129	Q05129	EAEB_ECO27	Protein EaeB	eaeB espB E2348C_3934	eaeB	espB	E2348C_3934		Escherichia coli O127:H6 (strain E2348/69 / EPEC)
Q05195	Q05195	MAD1_HUMAN	Max dimerization protein 1 (Max dimerizer 1) (Protein MAD)	MXD1 MAD	MXD1	MAD			Homo sapiens (Human)
Q05203	Q05203	FLA_BACHD	Flagellin	hag BH3616	hag		BH3616		Bacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125)
Q05291	Q05291	VG76_BPML5	Gene 76 protein (Gp76)	76	76				Mycobacterium phage L5 (Mycobacteriophage L5)
Q05295	Q05295	VG80_BPML5	Gene 80 protein (Gp80)	80	80				Mycobacterium phage L5 (Mycobacteriophage L5)
Q05302	Q05302	VG85_BPML5	Gene 85 protein (Gp85)	85	85				Mycobacterium phage L5 (Mycobacteriophage L5)
Q05309	Q05309	T1151_CLOPF	Transposase for insertion sequence element IS1151	tnp	tnp				Clostridium perfringens
Q05342	Q05342	RFBJ_YERPU	CDP-abequose synthase (EC 1.1.1.341)	rfbJ abe	rfbJ	abe			Yersinia pseudotuberculosis
Q05397	Q05397	FAK1_HUMAN	Focal adhesion kinase 1 (FADK 1) (EC 2.7.10.2) (Focal adhesion kinase-related nonkinase) (FRNK) (Protein phosphatase 1 regulatory subunit 71) (PPP1R71) (Protein-tyrosine kinase 2) (p125FAK) (pp125FAK)	PTK2 FAK FAK1	PTK2	FAK FAK1			Homo sapiens (Human)
Q05523	Q05523	DACA_GEOSE	D-alanyl-D-alanine carboxypeptidase DacA (CPase) (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (Penicillin-binding protein 5) (PBP-5)	dacA	dacA				Geobacillus stearothermophilus (Bacillus stearothermophilus)
Q05652	Q05652	KPEL_DROME	Serine/threonine-protein kinase pelle (EC 2.7.11.1)	pll CG5974	pll			CG5974	Drosophila melanogaster (Fruit fly)
Q05659	Q05659	BAR2_SCHCO	Pheromone B alpha 2 receptor	BAR2	BAR2				Schizophyllum commune (Split gill fungus)
Q05778	Q05778	POC1_YEAST	Proteasome chaperone 1 (Proteasome biogenesis-associated protein 1)	PBA1 POC1 YLR199C	PBA1	POC1	YLR199C		Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
Q05902	Q05902	ECM38_YEAST	Gamma-glutamyltransferase (EC 2.3.2.2) (CIK1 suppressor protein 2) (Extracellular mutant protein 38) (Gamma-glutamyltranspeptidase) (Gamma-GT) (Glutathione hydrolase) (EC 3.4.19.13) [Cleaved into: Gamma-glutamyltransferase heavy chain; Gamma-glutamyltransferase light chain]	ECM38 CIS2 YLR299W	ECM38	CIS2	YLR299W		Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
Q05925	Q05925	HME1_HUMAN	Homeobox protein engrailed-1 (Homeobox protein en-1) (Hu-En-1)	EN1	EN1				Homo sapiens (Human)
Q05940	Q05940	VMAT2_HUMAN	Synaptic vesicular amine transporter (Monoamine transporter) (Solute carrier family 18 member 2) (Vesicular amine transporter 2) (VAT2)	SLC18A2 SVMT VMAT2	SLC18A2	SVMT VMAT2			Homo sapiens (Human)
Q06124	Q06124	PTN11_HUMAN	Tyrosine-protein phosphatase non-receptor type 11 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1D) (PTP-1D) (Protein-tyrosine phosphatase 2C) (PTP-2C) (SH-PTP2) (SHP-2) (Shp2) (SH-PTP3)	PTPN11 PTP2C SHPTP2	PTPN11	PTP2C SHPTP2			Homo sapiens (Human)
Q06211	Q06211	MMS1_YEAST	E3 ubiquitin-protein ligase linker protein MMS1 (Methyl methanesulfonate-sensitivity protein 1) (Regulator of Ty1 transposition protein 108) (Synthetically lethal with MCM10 protein 6)	MMS1 KIM3 RTT108 SLM6 YPR164W	MMS1	KIM3 RTT108 SLM6	YPR164W		Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
Q06259	Q06259	DOC_BPP1	Protein kinase doc (EC 2.7.11.1) (Death on curing protein) (Toxin doc)	doc	doc				Escherichia phage P1 (Bacteriophage P1)
Q06323	Q06323	PSME1_HUMAN	Proteasome activator complex subunit 1 (11S regulator complex subunit alpha) (REG-alpha) (Activator of multicatalytic protease subunit 1) (Interferon gamma up-regulated I-5111 protein) (IGUP I-5111) (Proteasome activator 28 subunit alpha) (PA28a) (PA28alpha)	PSME1 IFI5111	PSME1	IFI5111			Homo sapiens (Human)
Q06324	Q06324	MMR1_YEAST	Mitochondrial MYO2 receptor-related protein 1	MMR1 YLR190W	MMR1		YLR190W		Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
Q06418	Q06418	TYRO3_HUMAN	Tyrosine-protein kinase receptor TYRO3 (EC 2.7.10.1) (Tyrosine-protein kinase BYK) (Tyrosine-protein kinase DTK) (Tyrosine-protein kinase RSE) (Tyrosine-protein kinase SKY) (Tyrosine-protein kinase TIF)	TYRO3 BYK DTK RSE SKY TIF	TYRO3	BYK DTK RSE SKY TIF			Homo sapiens (Human)
Q06453	Q06453	AL_DROME	Homeobox protein aristaless	al CG3935	al			CG3935	Drosophila melanogaster (Fruit fly)
Q06464	Q06464	GPMI_ANTSP	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12)	gpmI pgmA	gpmI	pgmA			Antithamnion sp. (Red alga)
Q06529	Q06529	CYSD_ALLVD	Cytochrome subunit of sulfide dehydrogenase (FCSD) (FC) (Flavocytochrome c cytochrome subunit)	fccA Alvin_1093	fccA		Alvin_1093		Allochromatium vinosum (strain ATCC 17899 / DSM 180 / NBRC 103801 / NCIMB 10441 / D) (Chromatium vinosum)
Q06549	Q06549	CDD_YEAST	Cytidine deaminase (CDA) (EC 3.5.4.5) (Cytidine aminohydrolase)	CDD1 YLR245C L9672.13	CDD1		YLR245C	L9672.13	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
Q06602	Q06602	APD73_APIME	Apidaecins type 73 [Cleaved into: Apidaecin; Apidaecin-1B (Apidaecin IB); Apidaecin-1A (Apidaecin IA)] (Fragment)	APID73	APID73				Apis mellifera (Honeybee)
Q06609	Q06609	RAD51_HUMAN	DNA repair protein RAD51 homolog 1 (HsRAD51) (hRAD51) (RAD51 homolog A)	RAD51 RAD51A RECA	RAD51	RAD51A RECA			Homo sapiens (Human)
Q06643	Q06643	TNFC_HUMAN	Lymphotoxin-beta (LT-beta) (Tumor necrosis factor C) (TNF-C) (Tumor necrosis factor ligand superfamily member 3)	LTB TNFC TNFSF3	LTB	TNFC TNFSF3			Homo sapiens (Human)
Q06721	Q06721	RCA_ANASC	Ribulose bisphosphate carboxylase/oxygenase activase (RA) (RuBisCO activase)	rca	rca				Anabaena sp. (strain CA / ATCC 33047)
Q06810	Q06810	OPY2_YEAST	Protein OPY2 (Overproduction-induced pheromone-resistant protein 2)	OPY2 YPR075C	OPY2		YPR075C		Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
Q06819	Q06819	DIB1_YEAST	Spliceosomal protein DIB1	DIB1 CDH1 SNU16 YPR082C P9513.12	DIB1	CDH1 SNU16	YPR082C	P9513.12	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
Q06830	Q06830	PRDX1_HUMAN	Peroxiredoxin-1 (EC 1.11.1.15) (Natural killer cell-enhancing factor A) (NKEF-A) (Proliferation-associated gene protein) (PAG) (Thioredoxin peroxidase 2) (Thioredoxin-dependent peroxide reductase 2)	PRDX1 PAGA PAGB TDPX2	PRDX1	PAGA PAGB TDPX2			Homo sapiens (Human)
Q06850	Q06850	CDPK1_ARATH	Calcium-dependent protein kinase 1 (AtCDPK 1) (CDPK 1) (EC 2.7.11.1) (Calcium-dependent protein kinase isoform AK1)	CPK1 AK1 At5g04870 MUK11.19	CPK1	AK1	At5g04870	MUK11.19	Arabidopsis thaliana (Mouse-ear cress)
Q06947	Q06947	A85B_MYCAV	Diacylglycerol acyltransferase/mycolyltransferase Ag85B (DGAT) (EC 2.3.1.122) (EC 2.3.1.20) (30 kDa extracellular protein) (Acyl-CoA:diacylglycerol acyltransferase) (Antigen 85 complex B) (85B) (Ag85B) (Extracellular alpha-antigen) (Fibronectin-binding protein B) (Fbps B)	fbpB	fbpB				Mycobacterium avium
Q07065	Q07065	CKAP4_HUMAN	Cytoskeleton-associated protein 4 (63-kDa cytoskeleton-linking membrane protein) (Climp-63) (p63)	CKAP4	CKAP4				Homo sapiens (Human)
Q07121	Q07121	AMO1_ARTS1	Primary amine oxidase (EC 1.4.3.21) (Copper amine oxidase) (MAOXI)	maoI	maoI				Arthrobacter sp. (strain P1)
Q07157	Q07157	ZO1_HUMAN	Tight junction protein ZO-1 (Tight junction protein 1) (Zona occludens protein 1) (Zonula occludens protein 1)	TJP1 ZO1	TJP1	ZO1			Homo sapiens (Human)
Q07202	Q07202	CORA_MEDSA	Cold and drought-regulated protein CORA	CORA	CORA				Medicago sativa (Alfalfa)
Q07325	Q07325	CXCL9_HUMAN	C-X-C motif chemokine 9 (Gamma-interferon-induced monokine) (Monokine induced by interferon-gamma) (HuMIG) (MIG) (Small-inducible cytokine B9)	CXCL9 CMK MIG SCYB9	CXCL9	CMK MIG SCYB9			Homo sapiens (Human)
Q07326	Q07326	PIGF_HUMAN	Phosphatidylinositol-glycan biosynthesis class F protein (PIG-F) (GPI11 homolog)	PIGF	PIGF				Homo sapiens (Human)
Q07436	Q07436	EXPA_DROME	Protein expanded	ex CG4114	ex			CG4114	Drosophila melanogaster (Fruit fly)
Q07458	Q07458	RXT3_YEAST	Transcriptional regulatory protein RXT3	RXT3 YDL076C	RXT3		YDL076C		Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
Q07500	Q07500	NDH2_YEAST	External NADH-ubiquinone oxidoreductase 2, mitochondrial (EC 1.6.5.9) (External NADH dehydrogenase 2)	NDE2 NDH2 YDL085W	NDE2	NDH2	YDL085W		Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
Q07532	Q07532	IWR1_YEAST	RNA polymerase II nuclear localization protein IWR1 (Interacting with RNA polymerase II protein 1)	IWR1 YDL115C	IWR1		YDL115C		Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
Q07566	Q07566	IPGD_SHIFL	Inositol phosphate phosphatase IpgD (EC 3.1.3.78) (Effector protein IpgD) (Phosphatidylinositol 4,5-bisphosphate 4-phosphatase)	ipgD CP0133	ipgD		CP0133		Shigella flexneri
Q075B4	Q075B4	CASPC_CANLF	Caspase-12 (CASP-12) (EC 3.4.22.-)						Canis lupus familiaris (Dog) (Canis familiaris)
Q07601	Q07601	CEST_CITFR	Tir chaperone	cesT	cesT				Citrobacter freundii
Q07609	Q07609	MOSC_RHIML	Membrane protein MosC	mosC	mosC				Rhizobium meliloti (Ensifer meliloti) (Sinorhizobium meliloti)
Q07698	Q07698	ABCA_AERSA	ABC transporter protein AbcA	abcA	abcA				Aeromonas salmonicida
Q07739	Q07739	NODA_AZOC5	Nodulation protein A (EC 2.3.1.-)	nodA AZC_3818	nodA		AZC_3818		Azorhizobium caulinodans (strain ATCC 43989 / DSM 5975 / JCM 20966 / NBRC 14845 / NCIMB 13405 / ORS 571)
Q07758	Q07758	NODS_AZOC5	Nodulation protein S (EC 2.1.1.-)	nodS AZC_3815	nodS		AZC_3815		Azorhizobium caulinodans (strain ATCC 43989 / DSM 5975 / JCM 20966 / NBRC 14845 / NCIMB 13405 / ORS 571)
Q07788	Q07788	COS7_YEAST	Protein COS7	COS7 YDL248W	COS7		YDL248W		Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
